,2025年,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2023年,2023年,2023年,2023年,2023年
项目,指标1,指标2,指标3,指标4,指标5,指标1,指标2,指标3,指标4,指标5,指标1,指标2,指标3,指标4,指标5
储能电池系统,62439.82,14.74%,57290.46,15.83%,8.99%,57290.46,15.83%,59900.52,14.94%,-4.36%,5,990,052.19,14.94%,4,498,027.73,13.69%,33.17%
其他业务,16916.61,3.99%,17487.82,4.83%,-3.27%,17487.82,4.83%,14427.17,3.60%,21.21%,1,442,717.07,3.60%,1,648,006.61,5.02%,-12.46%
动力电池系统,316506.37,74.70%,253041.34,69.90%,25.08%,253041.34,69.90%,285252.92,71.15%,-11.29%,28,525,291.73,71.15%,23,659,349.73,72.00%,20.57%
境内,294060.58,69.40%,251677.05,69.52%,16.84%,251677.05,69.52%,269924.90,67.33%,-6.76%,26,992,489.50,67.33%,25,167,082.73,76.59%,7.25%
境内外股票,-,-,-,-,-,-,-,-,-,-,688141.SH,杰华特,3,000.00,公允价值计量,23,109.11,-,5,870.88,-,5,662.65,-,7,555.20,其他权益工具投资,自有
境外,129641.26,30.60%,110335.51,30.48%,17.50%,110335.51,30.48%,130992.15,32.67%,-15.77%,13,099,214.99,32.67%,7,692,316.03,23.41%,70.29%
电气机械及器材制造业,417723.74,98.59%,356519.55,98.48%,17.17%,356519.55,98.48%,393182.89,98.07%,-9.32%,39,318,289.40,98.07%,32,408,535.49,98.63%,21.32%
电池材料及回收,21860.94,5.16%,28699.94,7.93%,-23.83%,28699.94,7.93%,33602.28,8.38%,-14.59%,3,360,228.41,8.38%,2,603,151.42,7.92%,29.08%
电池矿产资源,5978.10,1.41%,5493.00,1.52%,8.83%,5493.00,1.52%,7734.15,1.93%,-28.98%,773,415.09,1.93%,450,863.26,1.37%,71.54%
营业收入合计,423701.83,100.00%,362012.55,100.00%,17.04%,362012.55,100.00%,400917.04,100.00%,-9.70%,40,091,704.49,100%,32,859,398.75,100%,22.01%
证券品种,-,-,-,-,-,-,-,-,-,-,证券代码,证券简称,最初投资成本,会计计量模式,期初账面价值,本期公允价值变动损益,计入权益的累计公允价值变动,本期购买金额,本期出售金额,报告期损益,期末账面价值,会计核算科目,资金来源
采选冶炼行业,5978.10,1.41%,5493.00,1.52%,8.83%,5493.00,1.52%,7734.15,1.93%,-28.98%,773,415.09,1.93%,450,863.26,1.37%,71.54%
