# source_md, 贵州茅台/md/clean/贵州茅台2023年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 1/20
# table_index, 0
# report_year, 2023
# title, 利润表及现金流量表相关科目变动分析表
# title_level, 4
# unit, 元币种：人民币
# year_mapping, current=2023,previous=2022,ybp=2021
# row_count, 10
# col_count, 4
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
科目,本期数,上年同期数,变动比例(%)
营业收入,"147,693,604,994.14","124,099,843,771.99",19.01
营业成本,"11,867,273,851.78","10,093,468,616.63",17.57
销售费用,"4,648,613,585.82","3,297,724,190.94",40.96
管理费用,"9,729,389,252.31","9,012,191,073.63",7.96
财务费用,"-1,789,503,701.48","-1,391,805,826.72",不适用
研发费用,"157,371,873.01","135,185,680.40",16.41
经营活动产生的现金流量净额,"66,593,247,721.09","36,698,595,830.03",81.46
投资活动产生的现金流量净额,"-9,724,414,015.16","-5,536,826,334.90",不适用
筹资活动产生的现金流量净额,"-58,889,101,991.94","-57,424,528,979.83",不适用

