# source_md, 贵州茅台/md/clean/贵州茅台2023年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 4/20
# table_index, 3
# report_year, 2023
# title, .成本分析表
# title_level, 5
# unit, 元
# year_mapping, current=2023,previous=2022,ybp=2021
# row_count, 10
# col_count, 9
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
分行业情况,,,,,,,,
分行业,,成本构成项目,本期金额,本期占总成本比例(%),上年同期金额,上年同期占总成本比例(%),本期金额较上年同期变动比例(%),情况说明
酒类,,,"11,620,203,653.32",100.00,"9,896,113,336.80",100.00,17.42,
分产品情况,,,,,,,,
分产品,成本构成项目,,本期金额,本期占总成本比例(%),上年同期金额,上年同期占总成本比例(%),本期金额较上年同期变动比例(%),情况说明
酒类,直接材料,,"5,984,160,283.88",51.50,"5,344,548,452.24",54.00,11.97,
酒类,,"4,372,013,596.08",37.63,"3,395,434,595.85",34.31,28.76,,
酒类,,"640,613,571.24",5.51,"558,168,244.61",5.64,14.77,,
酒类,,"351,386,305.23",3.02,"342,073,450.40",3.46,2.72,,
酒类,,"272,029,896.89",2.34,"255,888,593.70",2.59,6.31,,
酒类,,"11,620,203,653.32",100.00,"9,896,113,336.80",100.00,17.42,,

