# source_md, 贵州茅台/md/clean/贵州茅台2023年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 18/20
# table_index, 17
# report_year, 2023
# title, .按不同类型披露公司主营业务构成
# title_level, 5
# unit, 元币种：人民币
# year_mapping, current=2023,previous=2022,ybp=2021
# row_count, 13
# col_count, 7
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
划分类型,营业收入,同比(%),营业成本,同比(%),毛利率(%),同比(%)
按产品档次,,,,,,
茅台酒,"126,589,066,691.89",17.39,"7,445,470,669.11",18.83,94.12,-0.07
其他系列酒,"20,629,929,589.15",29.43,"4,174,732,984.21",15.00,79.76,2.54
小计,"147,218,996,281.04",18.94,"11,620,203,653.32",17.42,92.11,0.11
按销售渠道,,,,,,
批发代理,"79,986,119,397.90",7.52,"8,569,360,111.66",6.82,89.29,0.07
直销,"67,232,876,883.14",36.16,"3,050,843,541.66",62.78,95.46,-0.74
小计,"147,218,996,281.04",18.94,"11,620,203,653.32",17.42,92.11,0.11
按地区分部,,,,,,
国内,"142,868,885,823.91",19.52,"11,280,212,551.30",18.01,92.10,0.10
国外,"4,350,110,457.13",2.61,"339,991,102.02",0.76,92.18,0.14
小计,"147,218,996,281.04",18.94,"11,620,203,653.32",17.42,92.11,0.11

