# source_md, 贵州茅台/md/clean/贵州茅台2024年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 8/20
# table_index, 7
# report_year, 2024
# title, 资产及负债状况
# title_level, 4
# unit, 元
# year_mapping, current=2024,previous=2023,ybp=2022
# row_count, 22
# col_count, 7
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
项目名称,本期期末数,本期期末数占总资产的比例(%),上期期末数,上期期末数占总资产的比例(%),本期期末金额较上期期末变动比例(%),情况说明
货币资金,"59,295,822,956.89",19.84,"69,070,136,376.12",25.33,-14.15,
拆出资金,"127,187,293,298.17",42.55,"105,553,836,462.58",38.71,20.50,
交易性金融资产,"248,513,280.00",0.08,"400,712,059.93",0.15,-37.98,主要是公司控股子公司贵州茅台集团财务有限公司上期债务工具投资到期收回
应收票据,"1,984,407,967.50",0.66,"13,933,440.00",0.01,"14,142.05",主要是公司全资子公司贵州茅台酱香酒营销有限公司银行承兑汇票办理销售业务增加
应收账款,"18,974,192.75",0.01,"60,373,410.41",0.02,-68.57,主要是公司控股子公司贵州茅台酒销售有限公司线上平台应收货款减少
买入返售金融资产,"7,220,310,691.10",2.42,"3,504,849,885.05",1.29,106.01,主要是公司控股子公司贵州茅台集团财务有限公司国债逆回购增加
存货,"54,343,285,157.47",18.18,"46,435,185,061.53",17.03,17.03,
其他流动资产,"160,176,582.69",0.05,"71,403,906.57",0.03,124.32,主要是留抵增值税进项税额增加
一年内到期的非流动资产,"1,210,959,803.42",0.41,,,不适用,主要是公司控股子公司贵州茅台集团财务有限公司部分债权投资将于1年内到期
债权投资,"1,515,174,439.92",0.51,"5,323,002,071.02",1.95,-71.54,主要是公司控股子公司贵州茅台集团财务有限公司购买债券投资到期收回
固定资产,"21,871,446,747.14",7.32,"19,909,280,655.97",7.30,9.86,
投资性房地产,"7,625,167.83",0.003,"4,138,545.33",0.002,84.25,主要是公司对外出租房屋增加
使用权资产,"410,594,173.53",0.14,"314,205,484.56",0.12,30.68,主要是公司控股子公司贵州茅台酒销售有限公司新增租赁
开发支出,"98,522,878.42",0.03,"218,015,555.49",0.08,-54.81,主要是部分资本化项目结题转无形资产
其他非流动资产,"232,395,817.46",0.08,"109,563,497.23",0.04,112.11,主要是公司支付工程安全文明措施费及信息化建设项目款
合同负债,"9,592,453,014.66",3.21,"14,125,755,802.29",5.18,-32.09,主要是经销商预付货款减少
吸收存款及同业存放,"23,102,858,820.97",7.73,"12,034,492,909.95",4.41,91.97,主要是公司控股子公司贵州茅台集团财务有限公司吸收集团成员单位存款较年初增加
一年内到期的非流动负债,"111,951,112.20",0.04,"57,054,879.48",0.02,96.22,主要是1年内到期的租赁负债增加
其他流动负债,"1,222,693,799.51",0.41,"1,822,498,012.30",0.67,-32.91,"主要是经销商预付货款减少,待转销项税相应减少"
递延所得税负债,"103,367,763.38",0.03,"78,943,062.19",0.03,30.94,"主要是公司控股子公司贵州茅台酒销售有限公司新增库房租赁,递延所得税相应增加"
其他综合收益,"-9,916,224.69",,"-6,061,727.51",,不适用,公司全资子公司贵州茅台酒巴黎贸易有限公司境外经营财务报表折算为记账本位币报表产生的差额

