# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 2/21
# table_index, 1
# report_year, 2025
# title, . 主营业务分行业、分产品、分地区、分销售模式情况
# title_level, 5
# unit, 元币种：人民币
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 15
# col_count, 7
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
主营业务分行业情况,,,,,,
分行业,营业收入,营业成本,毛利率(%),营业收入比上年增减(%),营业成本比上年增减(%),毛利率比上年增减(%)
酒类,"168,774,585,187.65","14,805,900,139.59",91.23,-1.08,8.63,减少0.78个百分点
,,,,,,
主营业务分产品情况,,,,,,
分产品,营业收入,营业成本,毛利率(%),营业收入比上年增减(%),营业成本比上年增减(%),毛利率比上年增减(%)
茅台酒,"146,499,906,480.49","9,484,757,825.54",93.53,0.39,9.50,减少0.53个百分点
其他系列酒,"22,274,678,707.16","5,321,142,314.05",76.11,-9.76,7.11,减少3.76个百分点
主营业务分地区情况,,,,,,
分地区,营业收入,营业成本,毛利率(%),营业收入比上年增减(%),营业成本比上年增减(%),毛利率比上年增减(%)
国内,"163,924,442,864.97","14,402,942,526.84",91.21,-0.91,8.89,减少0.79个百分点
国外,"4,850,142,322.68","402,957,612.75",91.69,-6.52,-0.04,减少0.54个百分点
主营业务分销售模式情况,,,,,,
销售模式,营业收入,营业成本,毛利率(%),营业收入比上年增减(%),营业成本比上年增减(%),毛利率比上年增减(%)
批发代理,"84,231,553,333.02","10,226,331,441.18",87.86,-12.05,0.89,减少1.56个百分点
直销,"84,543,031,854.63","4,579,568,698.41",94.58,12.96,31.07,减少0.75个百分点

