# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 4/21
# table_index, 3
# report_year, 2025
# title, . 成本分析表
# title_level, 5
# unit, 元币种：人民币
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 10
# col_count, 8
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
分行业情况,,,,,,,
分行业,成本构成项目,本期金额,本期占总成本比例(%),上年同期金额,上年同期占总成本比例(%),本期金额较上年同期变动比例(%),情况说明
酒类,,"14,805,900,139.59",100.00,"13,629,995,812.89",100.00,8.63,
分产品情况,,,,,,,
分产品,成本构成项目,本期金额,本期占总成本比例(%),上年同期金额,上年同期占总成本比例(%),本期金额较上年同期变动比例(%),情况说明
酒类,直接材料,"7,607,858,939.76",51.38,"6,895,320,421.92",50.59,10.33,
酒类,"5,499,482,112.67",37.14,"5,224,448,485.08",38.32,5.26,,
酒类,"902,282,395.06",6.10,"776,373,890.79",5.70,16.22,,
酒类,"469,410,305.65",3.17,"422,328,634.52",3.10,11.15,,
酒类,"326,866,386.45",2.21,"311,524,380.58",2.29,4.92,,
酒类,"14,805,900,139.59",100.00,"13,629,995,812.89",100.00,8.63,,

