# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 8/21
# table_index, 7
# report_year, 2025
# title, 现金流
# title_level, 4
# unit, 元币种：人民币
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 14
# col_count, 4
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
项目,本期发生额,上期发生额,本期比上年同期增减(%)
客户存款和同业存放款项净增加额,"-5,099,271,966.87","11,060,205,782.10",不适用
收到其他与经营活动有关的现金,"4,712,295,194.89","3,258,097,705.14",44.63
客户贷款及垫款净增加额,"-848,113,545.25","262,376,929.65",不适用
存放中央银行和同业款项净增加额,"12,847,265,866.72","-4,585,245,646.29",不适用
拆出资金净增加额,"-900,000,000.00","-400,000,000.00",不适用
支付利息、手续费及佣金的现金,"141,082,631.31","97,061,751.28",45.35
收回投资收到的现金,"33,455,136,000.00","8,550,000,000.00",291.29
处置固定资产、无形资产和其他长期资产收回的现金净额,"155,949.50","715,708.44",-78.21
收到其他与投资活动有关的现金,"24,750,303.39","5,532,536.42",347.36
购建固定资产、无形资产和其他长期资产支付的现金,"3,127,594,916.41","4,678,712,053.56",-33.15
投资支付的现金,"62,097,000,000.00","5,745,136,000.00",980.86
支付其他与筹资活动有关的现金,"6,185,347,863.42","116,478,781.87","5,210.28"
汇率变动对现金及现金等价物的影响,"2,295,358.30","-1,082,747.55",不适用

