# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 7/21
# table_index, 6
# report_year, 2025
# title, .研发人员情况表
# title_level, 5
# unit, 
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 15
# col_count, 2
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
公司研发人员的数量,806
研发人员数量占公司总人数的比例(%),2.30
研发人员学历结构,
学历结构类别,学历结构人数
博士研究生,88
硕士研究生,193
本科,458
专科,54
高中及以下,13
研发人员年龄结构,
年龄结构类别,年龄结构人数
30岁以下(不含30岁),153
"30-40岁(含30岁,不含40岁)",408
"40-50岁(含40岁,不含50岁)",192
"50-60岁(含50岁,不含60岁)",42
60岁及以上,11

