# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 9/21
# table_index, 8
# report_year, 2025
# title, 资产及负债状况
# title_level, 4
# unit, 元币种：人民币
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 21
# col_count, 7
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
项目名称,本期期末数,本期期末数占总资产的比例(%),上期期末数,上期期末数占总资产的比例(%),本期期末金额较上期期末变动比例(%),情况说明
货币资金,"51,690,610,946.50",17.01,"59,295,822,956.89",19.84,-12.83,
拆出资金,"99,096,188,059.75",32.62,"127,187,293,298.17",42.55,-22.09,
交易性金融资产,,,"248,513,280.00",0.08,-100.00,主要是公司控股子公司贵州茅台集团财务有限公司债务工具投资到期收回
应收票据,,,"1,984,407,967.50",0.66,-100.00,主要是公司全资子公司贵州茅台酱香酒营销有限公司应收银行承兑汇票到期
应收款项融资,"4,457,064,160.16",1.47,,,不适用,主要是公司全资子公司贵州茅台酱香酒营销有限公司拟贴现的银行承兑汇票
应收账款,"2,609,048.49",0.001,"18,974,192.75",0.01,-86.25,主要是公司控股子公司贵州茅台酒销售有限公司线上平台应收货款减少
预付款项,"6,637,314.31",0.002,"26,975,033.20",0.01,-75.39,主要是公司控股子公司北京友谊使者商贸有限公司预付货款减少
存货,"61,427,421,796.18",20.22,"54,343,285,157.47",18.18,13.04,
其他流动资产,"51,027,010.56",0.02,"160,176,582.69",0.05,-68.14,主要是留抵增值税进项税额减少
一年内到期的非流动资产,"26,871,114,612.71",8.84,"1,210,959,803.42",0.41,"2,118.99",主要是公司控股子公司贵州茅台集团财务有限公司部分债权投资将于一年内到期
发放贷款和垫款,"1,553,536,744.78",0.51,"2,381,228,475.45",0.80,-34.76,主要是公司控股子公司贵州茅台集团财务有限公司收回买方信贷
其他债权投资,"3,496,539,016.41",1.15,,,不适用,主要是公司控股子公司贵州茅台集团财务有限公司购买金融债券
长期股权投资,"147,181,873.67",0.05,,,不适用,主要是本期公司向参股公司贵州茅台生物科技研发有限责任公司注入注册资本金
固定资产,"22,488,122,304.35",7.40,"21,871,446,747.14",7.32,2.82,
使用权资产,"221,738,227.51",0.07,"410,594,173.53",0.14,-46.00,主要是公司控股子公司贵州茅台酒销售有限公司部分租赁资产终止租赁
一年内到期的非流动负债,"44,206,237.05",0.01,"111,951,112.20",0.04,-60.51,主要是公司控股子公司贵州茅台酒销售有限公司部分租赁资产终止租赁
租赁负债,"189,504,942.77",0.06,"313,906,415.76",0.11,-39.63,主要是公司控股子公司贵州茅台酒销售有限公司部分租赁资产终止租赁
资本公积,"1,577,095.18",0.001,"1,374,964,415.72",0.46,-99.89,主要是本期公司回购股票注销调整股本溢价
库存股,"120,112,601.53",0.04,,,不适用,主要是本期公司回购股票
其他综合收益,"-5,778,843.62",,"-9,916,224.69",,不适用,主要是公司全资子公司贵州茅台酒巴黎贸易有限公司境外经营财务报表折算为记账本位币报表产生的差额

