# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, . 产销量情况分析表
# group_key, 05_五、报告期内主要经营情况|. 产销量情况分析表
# kind, long
# years, 2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2025,05_五、报告期内主要经营情况,酒类,单位,吨,
data,2025,05_五、报告期内主要经营情况,酒类,库存量,"339,977.86",
data,2025,05_五、报告期内主要经营情况,酒类,库存量比上年增减(%),9.67,
data,2025,05_五、报告期内主要经营情况,酒类,生产量,"116,123.73",
data,2025,05_五、报告期内主要经营情况,酒类,生产量比上年增减(%),11.25,
data,2025,05_五、报告期内主要经营情况,酒类,销售量,"85,104.14",
data,2025,05_五、报告期内主要经营情况,酒类,销售量比上年增减(%),2.13,
data,2024,05_五、报告期内主要经营情况,酒类,单位,吨,
data,2024,05_五、报告期内主要经营情况,酒类,库存量,"310,008.02",
data,2024,05_五、报告期内主要经营情况,酒类,库存量比上年增减(%),5.52,
data,2024,05_五、报告期内主要经营情况,酒类,生产量,"104,384.50",
data,2024,05_五、报告期内主要经营情况,酒类,生产量比上年增减(%),4.24,
data,2024,05_五、报告期内主要经营情况,酒类,销售量,"83,332.76",
data,2024,05_五、报告期内主要经营情况,酒类,销售量比上年增减(%),13.73,

