# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, .区域情况
# group_key, 05_五、报告期内主要经营情况|.区域情况
# kind, long
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2025,05_五、报告期内主要经营情况,国内,上期销售收入,"16,542,330.88",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,上期销售量(吨),"81,219.89",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,本期占比(%),97.13,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,本期占比(%),97.66,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,本期销售收入,"16,392,444.29",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,本期销售量(吨),"83,110.95",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,上期销售收入,"518,852.93",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,上期销售量(吨),"2,112.87",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,本期占比(%),2.87,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,本期占比(%),2.34,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,本期销售收入,"485,014.23",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,本期销售量(吨),"1,993.19",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,上期销售收入,"14,286,888.58",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,上期销售量(吨),"71,295.43",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,本期占比(%),96.96,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,本期占比(%),97.46,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,本期销售收入,"16,542,330.88",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,本期销售量(吨),"81,219.89",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,上期销售收入,"435,011.05",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,上期销售量(吨),"1,978.61",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,本期占比(%),3.04,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,本期占比(%),2.54,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,本期销售收入,"518,852.93",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,本期销售量(吨),"2,112.87",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国内,上期销售收入,"11,953,275.29",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国内,上期销售量(吨),"66,162.41",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国内,本期占比(%),97.05,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国内,本期占比(%),97.30,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国内,本期销售收入,"14,286,888.58",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国内,本期销售量(吨),"71,295.43",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国外,上期销售收入,"423,957.95",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国外,上期销售量(吨),"2,013.91",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国外,本期占比(%),2.95,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国外,本期占比(%),2.70,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国外,本期销售收入,"435,011.05",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,国外,本期销售量(吨),"1,978.61",万元币种：人民币

