# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, .按不同类型披露公司主营业务构成
# group_key, 05_五、报告期内主要经营情况|.按不同类型披露公司主营业务构成
# kind, long
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2025,05_五、报告期内主要经营情况,其他系列酒,同比(%),-9.76,元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,同比(%),7.11,元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,同比(%),-3.76,元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,毛利率(%),76.11,元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,营业成本,"5,321,142,314.05",元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,营业收入,"22,274,678,707.16",元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,同比(%),-0.91,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,同比(%),8.89,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,同比(%),-0.79,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,毛利率(%),91.21,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,营业成本,"14,402,942,526.84",元币种：人民币
data,2025,05_五、报告期内主要经营情况,国内,营业收入,"163,924,442,864.97",元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,同比(%),-6.52,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,同比(%),-0.04,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,同比(%),-0.54,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,毛利率(%),91.69,元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,营业成本,"402,957,612.75",元币种：人民币
data,2025,05_五、报告期内主要经营情况,国外,营业收入,"4,850,142,322.68",元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),-1.08,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),8.63,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),-0.78,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),-1.08,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),8.63,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),-0.78,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),-1.08,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),8.63,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,同比(%),-0.78,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,毛利率(%),91.23,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,毛利率(%),91.23,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,毛利率(%),91.23,元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,营业成本,"14,805,900,139.59",元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,营业成本,"14,805,900,139.59",元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,营业成本,"14,805,900,139.59",元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,营业收入,"168,774,585,187.65",元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,营业收入,"168,774,585,187.65",元币种：人民币
data,2025,05_五、报告期内主要经营情况,小计,营业收入,"168,774,585,187.65",元币种：人民币
data,2025,05_五、报告期内主要经营情况,批发代理,同比(%),-12.05,元币种：人民币
data,2025,05_五、报告期内主要经营情况,批发代理,同比(%),0.89,元币种：人民币
data,2025,05_五、报告期内主要经营情况,批发代理,同比(%),-1.56,元币种：人民币
data,2025,05_五、报告期内主要经营情况,批发代理,毛利率(%),87.86,元币种：人民币
data,2025,05_五、报告期内主要经营情况,批发代理,营业成本,"10,226,331,441.18",元币种：人民币
data,2025,05_五、报告期内主要经营情况,批发代理,营业收入,"84,231,553,333.02",元币种：人民币
section_header,2025,05_五、报告期内主要经营情况,按产品档次,,,元币种：人民币
section_header,2025,05_五、报告期内主要经营情况,按地区分部,,,元币种：人民币
section_header,2025,05_五、报告期内主要经营情况,按销售渠道,,,元币种：人民币
data,2025,05_五、报告期内主要经营情况,直销,同比(%),12.96,元币种：人民币
data,2025,05_五、报告期内主要经营情况,直销,同比(%),31.07,元币种：人民币
data,2025,05_五、报告期内主要经营情况,直销,同比(%),-0.75,元币种：人民币
data,2025,05_五、报告期内主要经营情况,直销,毛利率(%),94.58,元币种：人民币
data,2025,05_五、报告期内主要经营情况,直销,营业成本,"4,579,568,698.41",元币种：人民币
data,2025,05_五、报告期内主要经营情况,直销,营业收入,"84,543,031,854.63",元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,同比(%),0.39,元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,同比(%),9.50,元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,同比(%),-0.53,元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,毛利率(%),93.53,元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,营业成本,"9,484,757,825.54",元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,营业收入,"146,499,906,480.49",元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,同比(%),19.65,元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,同比(%),19.00,元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,同比(%),0.11,元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,毛利率(%),79.87,元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,营业成本,"4,967,916,424.11",元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,营业收入,"24,683,762,096.71",元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,同比(%),15.79,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,同比(%),17.26,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,同比(%),-0.10,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,毛利率(%),92.00,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,营业成本,"13,226,875,459.60",元币种：人民币
data,2024,05_五、报告期内主要经营情况,国内,营业收入,"165,423,308,808.24",元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,同比(%),19.27,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,同比(%),18.57,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,同比(%),0.05,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,毛利率(%),92.23,元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,营业成本,"403,120,353.29",元币种：人民币
data,2024,05_五、报告期内主要经营情况,国外,营业收入,"5,188,529,243.78",元币种：人民币
data,2024,05_五、报告期内主要经营情况,小计,同比(%),15.89,元币种：人民币
data,2024,05_五、报告期内主要经营情况,小计,同比(%),17.30,元币种：人民币
data,2024,05_五、报告期内主要经营情况,小计,同比(%),-0.10,元币种：人民币
data,2024,05_五、报告期内主要经营情况,小计,同比(%),15.89,元币种：人民币
