# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, .按不同类型披露公司主营业务构成
# group_key, 05_五、报告期内主要经营情况|.按不同类型披露公司主营业务构成
# kind, wide
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
subject,营业收入_2023,同比(%)_2023,营业成本_2023,毛利率(%)_2023,营业收入_2024,同比(%)_2024,营业成本_2024,毛利率(%)_2024,营业收入_2025,同比(%)_2025,营业成本_2025,毛利率(%)_2025
按产品档次,,,,,,,,,,,,
按销售渠道,,,,,,,,,,,,
按地区分部,,,,,,,,,,,,
其他系列酒,"20,629,929,589.15",2.54,"4,174,732,984.21",79.76,"24,683,762,096.71",0.11,"4,967,916,424.11",79.87,"22,274,678,707.16",-3.76,"5,321,142,314.05",76.11
国内,"142,868,885,823.91",0.10,"11,280,212,551.30",92.10,"165,423,308,808.24",-0.10,"13,226,875,459.60",92.00,"163,924,442,864.97",-0.79,"14,402,942,526.84",91.21
国外,"4,350,110,457.13",0.14,"339,991,102.02",92.18,"5,188,529,243.78",0.05,"403,120,353.29",92.23,"4,850,142,322.68",-0.54,"402,957,612.75",91.69
小计,"147,218,996,281.04",0.11,"11,620,203,653.32",92.11,"170,611,838,052.02",-0.10,"13,629,995,812.89",92.01,"168,774,585,187.65",-0.78,"14,805,900,139.59",91.23
批发代理,"79,986,119,397.90",0.07,"8,569,360,111.66",89.29,"95,768,511,021.23",0.13,"10,136,042,973.30",89.42,"84,231,553,333.02",-1.56,"10,226,331,441.18",87.86
直销,"67,232,876,883.14",-0.74,"3,050,843,541.66",95.46,"74,843,327,030.79",-0.13,"3,493,952,839.59",95.33,"84,543,031,854.63",-0.75,"4,579,568,698.41",94.58
茅台酒,"126,589,066,691.89",-0.07,"7,445,470,669.11",94.12,"145,928,075,955.31",-0.06,"8,662,079,388.78",94.06,"146,499,906,480.49",-0.53,"9,484,757,825.54",93.53

