# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, .线上销售情况
# group_key, 05_五、报告期内主要经营情况|.线上销售情况
# kind, long
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 0.5556
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2025,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,上期销售收入,"2,002,366.62",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,同比(%),-34.92,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,本期销售收入,"1,303,141.15",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,毛利率(%),94.47,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,线上销售产品档次,中、高档酒,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他线上平台,上期销售收入,"209,561.85",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他线上平台,同比(%),-80.62,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他线上平台,本期销售收入,"40,619.50",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他线上平台,毛利率(%),94.81,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他线上平台,线上销售产品档次,中、高档酒,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,“i茅台”数字营销平台,上期销售收入,"2,237,432.35",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,“i茅台”数字营销平台,同比(%),-10.51,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,“i茅台”数字营销平台,本期销售收入,"2,002,366.62",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,“i茅台”数字营销平台,毛利率(%),94.50,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,“i茅台”数字营销平台,线上销售产品档次,中、高档酒,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他线上平台,上期销售收入,"183,125.55",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他线上平台,同比(%),14.44,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他线上平台,本期销售收入,"209,561.85",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他线上平台,毛利率(%),94.93,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他线上平台,线上销售产品档次,中、高档酒,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,上期销售收入,"1,188,270.28",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,同比(%),88.29,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,本期销售收入,"2,237,432.35",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,毛利率(%),96.09,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,“i 茅台”数字营销平台,线上销售产品档次,中、高档酒,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,其他线上平台,上期销售收入,,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,其他线上平台,同比(%),不适用,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,其他线上平台,本期销售收入,"183,125.55",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,其他线上平台,毛利率(%),95.95,万元币种：人民币
data,2023,05_五、报告期内主要经营情况,其他线上平台,线上销售产品档次,中、高档酒,万元币种：人民币

