# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, .采购金额
# group_key, 05_五、报告期内主要经营情况|.采购金额
# kind, long
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2025,05_五、报告期内主要经营情况,包装材料,上期采购金额,"419,421.77",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,包装材料,占当期总采购额的比重(%),51.14,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,包装材料,当期采购金额,"467,885.20",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,能源,上期采购金额,"42,323.56",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,能源,占当期总采购额的比重(%),5.49,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,能源,当期采购金额,"50,242.24",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,车间辅助材料,上期采购金额,"12,806.32",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,车间辅助材料,占当期总采购额的比重(%),1.99,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,车间辅助材料,当期采购金额,"18,245.68",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,酿酒原材料,上期采购金额,"384,290.51",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,酿酒原材料,占当期总采购额的比重(%),41.38,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,酿酒原材料,当期采购金额,"378,619.53",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,包装材料,上期采购金额,"396,702.84",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,包装材料,占当期总采购额的比重(%),48.84,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,包装材料,当期采购金额,"419,421.77",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,能源,上期采购金额,"35,724.12",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,能源,占当期总采购额的比重(%),4.92,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,能源,当期采购金额,"42,323.56",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,车间辅助材料,上期采购金额,"13,122.59",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,车间辅助材料,占当期总采购额的比重(%),1.49,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,车间辅助材料,当期采购金额,"12,806.32",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,酿酒原材料,上期采购金额,"352,140.58",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,酿酒原材料,占当期总采购额的比重(%),44.75,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,酿酒原材料,当期采购金额,"384,290.51",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,包装材料,上期采购金额,"290,243.05",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,包装材料,占当期总采购额的比重(%),49.73,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,包装材料,当期采购金额,"396,702.84",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,能源,上期采购金额,"48,982.94",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,能源,占当期总采购额的比重(%),4.48,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,能源,当期采购金额,"35,724.12",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,车间辅助材料,上期采购金额,"6,898.38",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,车间辅助材料,占当期总采购额的比重(%),1.36,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,车间辅助材料,当期采购金额,"13,122.59",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,酿酒原材料,上期采购金额,"248,398.92",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,酿酒原材料,占当期总采购额的比重(%),44.15,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,酿酒原材料,当期采购金额,"352,140.58",万元币种:人民币

