# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, 产品情况
# group_key, 05_五、报告期内主要经营情况|产品情况
# kind, long
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2025,05_五、报告期内主要经营情况,其他系列酒,主要代表品牌,茅台王子酒、茅台1935酒、汉酱酒、赖茅酒,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,产量(吨),"57,650.57",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,产销率(%),,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,同比(%),19.82,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,同比(%),3.88,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,同比(%),-9.76,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,销售收入,"2,227,467.87",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,其他系列酒,销量(吨),"38,353.48",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,主要代表品牌,贵州茅台酒,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,产量(吨),"58,473.16",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,产销率(%),,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,同比(%),3.91,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,同比(%),0.73,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,同比(%),0.39,万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,销售收入,"14,649,990.65",万元币种：人民币
data,2025,05_五、报告期内主要经营情况,茅台酒,销量(吨),"46,750.66",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,主要代表品牌,茅台王子酒、茅台1935酒、汉酱酒、赖茅酒,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,产量(吨),"48,112.51",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,产销率(%),,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,同比(%),12.05,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,同比(%),18.47,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,同比(%),19.65,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,销售收入,"2,468,376.21",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,其他系列酒,销量(吨),"36,919.81",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,主要代表品牌,贵州茅台酒,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,产量(吨),"56,271.99",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,产销率(%),,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,同比(%),-1.63,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,同比(%),10.22,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,同比(%),15.28,万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,销售收入,"14,592,807.60",万元币种：人民币
data,2024,05_五、报告期内主要经营情况,茅台酒,销量(吨),"46,412.95",万元币种：人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,主要代表品牌,茅台王子酒、茅台1935酒、汉酱酒、赖茅酒,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,产量(吨),"42,937.04",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,产销率(%),,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,同比(%),22.41,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,同比(%),2.94,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,同比(%),29.43,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,销售收入,"2,062,992.96",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,其他系列酒,销量(吨),"31,164.54",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,主要代表品牌,贵州茅台酒,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,产量(吨),"57,204.11",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,产销率(%),,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,同比(%),0.69,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,同比(%),11.10,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,同比(%),17.39,万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,销售收入,"12,658,906.67",万元币种:人民币
data,2023,05_五、报告期内主要经营情况,茅台酒,销量(吨),"42,109.50",万元币种:人民币

