# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, 利润表及现金流量表相关科目变动分析表
# group_key, 05_五、报告期内主要经营情况|利润表及现金流量表相关科目变动分析表
# kind, long
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2025,05_五、报告期内主要经营情况,投资活动产生的现金流量净额,上年同期数,"-1,785,202,630.71",元币种：人民币
data,2025,05_五、报告期内主要经营情况,投资活动产生的现金流量净额,变动比例(%),不适用,元币种：人民币
data,2025,05_五、报告期内主要经营情况,投资活动产生的现金流量净额,本期数,"-31,641,898,948.89",元币种：人民币
data,2025,05_五、报告期内主要经营情况,研发费用,上年同期数,"218,375,472.87",元币种：人民币
data,2025,05_五、报告期内主要经营情况,研发费用,变动比例(%),-12.94,元币种：人民币
data,2025,05_五、报告期内主要经营情况,研发费用,本期数,"190,112,246.58",元币种：人民币
data,2025,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,上年同期数,"-71,067,506,484.81",元币种：人民币
data,2025,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,变动比例(%),不适用,元币种：人民币
data,2025,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,本期数,"-73,427,081,208.87",元币种：人民币
data,2025,05_五、报告期内主要经营情况,管理费用,上年同期数,"9,315,650,060.38",元币种：人民币
data,2025,05_五、报告期内主要经营情况,管理费用,变动比例(%),-10.69,元币种：人民币
data,2025,05_五、报告期内主要经营情况,管理费用,本期数,"8,320,061,659.66",元币种：人民币
data,2025,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,上年同期数,"92,463,692,168.43",元币种：人民币
data,2025,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,变动比例(%),-33.46,元币种：人民币
data,2025,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,本期数,"61,522,204,989.35",元币种：人民币
data,2025,05_五、报告期内主要经营情况,营业成本,上年同期数,"13,789,482,367.98",元币种：人民币
data,2025,05_五、报告期内主要经营情况,营业成本,变动比例(%),8.00,元币种：人民币
data,2025,05_五、报告期内主要经营情况,营业成本,本期数,"14,892,277,570.91",元币种：人民币
data,2025,05_五、报告期内主要经营情况,营业收入,上年同期数,"170,899,152,276.34",元币种：人民币
data,2025,05_五、报告期内主要经营情况,营业收入,变动比例(%),-1.21,元币种：人民币
data,2025,05_五、报告期内主要经营情况,营业收入,本期数,"168,838,102,514.79",元币种：人民币
data,2025,05_五、报告期内主要经营情况,财务费用,上年同期数,"-1,470,219,863.34",元币种：人民币
data,2025,05_五、报告期内主要经营情况,财务费用,变动比例(%),不适用,元币种：人民币
data,2025,05_五、报告期内主要经营情况,财务费用,本期数,"-815,240,284.72",元币种：人民币
data,2025,05_五、报告期内主要经营情况,销售费用,上年同期数,"5,639,300,059.49",元币种：人民币
data,2025,05_五、报告期内主要经营情况,销售费用,变动比例(%),28.62,元币种：人民币
data,2025,05_五、报告期内主要经营情况,销售费用,本期数,"7,253,499,600.68",元币种：人民币
data,2024,05_五、报告期内主要经营情况,投资活动产生的现金流量净额,上年同期数,"-9,724,414,015.16",元币种：人民币
data,2024,05_五、报告期内主要经营情况,投资活动产生的现金流量净额,变动比例(%),不适用,元币种：人民币
data,2024,05_五、报告期内主要经营情况,投资活动产生的现金流量净额,本期数,"-1,785,202,630.71",元币种：人民币
data,2024,05_五、报告期内主要经营情况,研发费用,上年同期数,"157,371,873.01",元币种：人民币
data,2024,05_五、报告期内主要经营情况,研发费用,变动比例(%),38.76,元币种：人民币
data,2024,05_五、报告期内主要经营情况,研发费用,本期数,"218,375,472.87",元币种：人民币
data,2024,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,上年同期数,"-58,889,101,991.94",元币种：人民币
data,2024,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,变动比例(%),不适用,元币种：人民币
data,2024,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,本期数,"-71,067,506,484.81",元币种：人民币
data,2024,05_五、报告期内主要经营情况,管理费用,上年同期数,"9,729,389,252.31",元币种：人民币
data,2024,05_五、报告期内主要经营情况,管理费用,变动比例(%),-4.25,元币种：人民币
data,2024,05_五、报告期内主要经营情况,管理费用,本期数,"9,315,650,060.38",元币种：人民币
data,2024,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,上年同期数,"66,593,247,721.09",元币种：人民币
data,2024,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,变动比例(%),38.85,元币种：人民币
data,2024,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,本期数,"92,463,692,168.43",元币种：人民币
data,2024,05_五、报告期内主要经营情况,营业成本,上年同期数,"11,867,273,851.78",元币种：人民币
data,2024,05_五、报告期内主要经营情况,营业成本,变动比例(%),16.20,元币种：人民币
data,2024,05_五、报告期内主要经营情况,营业成本,本期数,"13,789,482,367.98",元币种：人民币
data,2024,05_五、报告期内主要经营情况,营业收入,上年同期数,"147,693,604,994.14",元币种：人民币
data,2024,05_五、报告期内主要经营情况,营业收入,变动比例(%),15.71,元币种：人民币
data,2024,05_五、报告期内主要经营情况,营业收入,本期数,"170,899,152,276.34",元币种：人民币
data,2024,05_五、报告期内主要经营情况,财务费用,上年同期数,"-1,789,503,701.48",元币种：人民币
data,2024,05_五、报告期内主要经营情况,财务费用,变动比例(%),不适用,元币种：人民币
data,2024,05_五、报告期内主要经营情况,财务费用,本期数,"-1,470,219,863.34",元币种：人民币
data,2024,05_五、报告期内主要经营情况,销售费用,上年同期数,"4,648,613,585.82",元币种：人民币
data,2024,05_五、报告期内主要经营情况,销售费用,变动比例(%),21.31,元币种：人民币
data,2024,05_五、报告期内主要经营情况,销售费用,本期数,"5,639,300,059.49",元币种：人民币
