# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, 利润表及现金流量表相关科目变动分析表
# group_key, 05_五、报告期内主要经营情况|利润表及现金流量表相关科目变动分析表
# kind, wide
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
subject,本期数_2023,上年同期数_2023,变动比例(%)_2023,本期数_2024,上年同期数_2024,变动比例(%)_2024,本期数_2025,上年同期数_2025,变动比例(%)_2025
投资活动产生的现金流量净额,"-9,724,414,015.16","-5,536,826,334.90",不适用,"-1,785,202,630.71","-9,724,414,015.16",不适用,"-31,641,898,948.89","-1,785,202,630.71",不适用
研发费用,"157,371,873.01","135,185,680.40",16.41,"218,375,472.87","157,371,873.01",38.76,"190,112,246.58","218,375,472.87",-12.94
筹资活动产生的现金流量净额,"-58,889,101,991.94","-57,424,528,979.83",不适用,"-71,067,506,484.81","-58,889,101,991.94",不适用,"-73,427,081,208.87","-71,067,506,484.81",不适用
管理费用,"9,729,389,252.31","9,012,191,073.63",7.96,"9,315,650,060.38","9,729,389,252.31",-4.25,"8,320,061,659.66","9,315,650,060.38",-10.69
经营活动产生的现金流量净额,"66,593,247,721.09","36,698,595,830.03",81.46,"92,463,692,168.43","66,593,247,721.09",38.85,"61,522,204,989.35","92,463,692,168.43",-33.46
营业成本,"11,867,273,851.78","10,093,468,616.63",17.57,"13,789,482,367.98","11,867,273,851.78",16.20,"14,892,277,570.91","13,789,482,367.98",8.00
营业收入,"147,693,604,994.14","124,099,843,771.99",19.01,"170,899,152,276.34","147,693,604,994.14",15.71,"168,838,102,514.79","170,899,152,276.34",-1.21
财务费用,"-1,789,503,701.48","-1,391,805,826.72",不适用,"-1,470,219,863.34","-1,789,503,701.48",不适用,"-815,240,284.72","-1,470,219,863.34",不适用
销售费用,"4,648,613,585.82","3,297,724,190.94",40.96,"5,639,300,059.49","4,648,613,585.82",21.31,"7,253,499,600.68","5,639,300,059.49",28.62

